adm0_name,adm1_name,adm1_namechanged,adm1_code,adm1_pcod3,adm2_name,adm2_namechanged,adm2_code,adm2_pcod3,adm0_code,adm0_pcod3
Nigeria,Benue,Benue,2215,NGA007,Vandeikya,Vandeikya,22698,NGA007023,182,NGA
Nigeria,Borno,Borno,2216,NGA008,Askira/Uba,Askira/Uba,22699,NGA008002,182,NGA
Nigeria,Borno,Borno,2216,NGA008,Bama,Bama,22700,NGA008003,182,NGA
Nigeria,Borno,Borno,2216,NGA008,Dikwa,Dikwa,22703,NGA008008,182,NGA
Nigeria,Borno,Borno,2216,NGA008,Gwoza,Gwoza,22704,NGA008011,182,NGA
Nigeria,Cross River,Cross River,2217,NGA009,Abi,Abi,22713,NGA009001,182,NGA
Nigeria,Cross River,Cross River,2217,NGA009,Akamkpa,Akamkpa,22714,NGA009002,182,NGA
Nigeria,Cross River,Cross River,2217,NGA009,Biase,Biase,22716,NGA009006,182,NGA
Nigeria,Cross River,Cross River,2217,NGA009,Boki,Boki,22717,NGA009008,182,NGA
Nigeria,Cross River,Cross River,2217,NGA009,Boki,Boki,22717,NGA009008,182,NGA
Nigeria,Cross River,Cross River,2217,NGA009,Obubra,Obubra,22720,NGA009013,182,NGA
Nigeria,Cross River,Cross River,2217,NGA009,Obubra,Obubra,22720,NGA009013,182,NGA
Nigeria,Cross River,Cross River,2217,NGA009,Obudu,Obudu,22722,NGA009014,182,NGA
Nigeria,Cross River,Cross River,2217,NGA009,Yakurr,Yakurr,22725,NGA009017,182,NGA
Nigeria,Cross River,Cross River,2217,NGA009,Yala,Yala,22726,NGA009018,182,NGA
Nigeria,Delta,Delta,2218,NGA010,Aniocha North,Aniocha North,22727,NGA010001,182,NGA
Nigeria,Delta,Delta,2218,NGA010,Aniocha South,Aniocha South,22728,NGA010002,182,NGA
Nigeria,Delta,Delta,2218,NGA010,Burutu,Burutu,22730,NGA010004,182,NGA
Nigeria,Delta,Delta,2218,NGA010,Ethiope West,Ethiope West,22732,NGA010006,182,NGA
Nigeria,Delta,Delta,2218,NGA010,Ika North East,Ika North East,22733,NGA010007,182,NGA
Nigeria,Delta,Delta,2218,NGA010,Ika South,Ika South,22734,NGA010008,182,NGA
Nigeria,Delta,Delta,2218,NGA010,Ndokwa East,Ndokwa East,22737,NGA010011,182,NGA
Nigeria,Delta,Delta,2218,NGA010,Sapele,Sapele,22741,NGA010017,182,NGA
Nigeria,Edo,Edo,2219,NGA012,Akoko-Edo,Akoko-Edo,22746,NGA012001,182,NGA
Nigeria,Edo,Edo,2219,NGA012,Esan North East,Esan North East,22748,NGA012004,182,NGA
Nigeria,Edo,Edo,2219,NGA012,Esan South East,Esan South East,22749,NGA012005,182,NGA
Nigeria,Edo,Edo,2219,NGA012,Esan West,Esan West,22750,NGA012006,182,NGA
Nigeria,Edo,Edo,2219,NGA012,Etsako East,Etsako East,22751,NGA012008,182,NGA
Nigeria,Enugu,Enugu,65703,NGA014,Ezeagu,Ezeagu,22761,NGA014006,182,NGA
Nigeria,Enugu,Enugu,65703,NGA014,Igbo-Etiti,Igbo-Etiti,22763,NGA014007,182,NGA
Nigeria,Ebonyi,Ebonyi,65701,NGA011,Ikwo,Ikwo,22765,NGA011007,182,NGA
Nigeria,Ebonyi,Ebonyi,65701,NGA011,Ishielu,Ishielu,22766,NGA011008,182,NGA
